OrderID,Supplier,ProductCategory,Region,OrderDate,DeliveryDate,UnitsOrdered,UnitPrice,InventoryStock,DeliveryStatus,DelayDays,ContractID,TotalPrice,IsLate
ORD00001,Supplier_D,Clothing,East,2023-01-23 23:00:00,2023-05-18 21:00:00,68,341.04,690,Delivered,13,CON0001,23190.72,Yes
ORD00002,Supplier_D,Electronics,West,2023-08-20 22:00:00,2023-03-26 11:00:00,70,390.65,479,Pending,5,CON0002,27345.5,Yes
ORD00003,Supplier_C,Furniture,North,2023-08-28 22:00:00,2023-06-01 15:00:00,33,252.96,784,Cancelled,21,CON0003,8347.68,Yes
ORD00004,Supplier_D,Food,East,2023-05-08 03:00:00,2023-06-04 00:00:00,96,185.1,873,Pending,23,CON0004,17769.6,Yes
ORD00005,Supplier_A,Furniture,South,2023-08-10 18:00:00,2023-11-08 18:00:00,80,218.86,338,Cancelled,24,CON0005,17508.8,Yes
ORD00006,Supplier_D,Food,East,2023-04-17 11:00:00,2023-04-01 19:00:00,75,197.26,871,Pending,21,CON0006,14794.5,Yes
ORD00007,Supplier_D,Furniture,West,2023-02-15 09:00:00,2023-05-26 23:00:00,22,480.19,858,Cancelled,6,CON0007,10564.18,Yes
ORD00008,Supplier_C,Furniture,East,2023-01-20 02:00:00,2023-01-04 03:00:00,36,385.2,178,Cancelled,-9,CON0008,13867.2,No
ORD00009,Supplier_C,Clothing,West,2023-07-16 17:00:00,2023-04-01 23:00:00,23,108.0,420,Pending,15,CON0009,2484.0,Yes
ORD00010,Supplier_A,Furniture,East,2023-09-20 16:00:00,2023-07-03 22:00:00,63,195.17,481,Cancelled,6,CON0010,12295.71,Yes
ORD00011,Supplier_C,Furniture,East,2023-03-22 00:00:00,2023-06-03 03:00:00,26,274.29,48,Delayed,27,CON0011,7131.54,Yes
ORD00012,Supplier_D,Furniture,East,2023-11-17 14:00:00,2023-11-04 12:00:00,60,308.43,826,Delayed,-9,CON0012,18505.8,No
ORD00013,Supplier_B,Furniture,North,2023-08-25 04:00:00,2023-03-31 00:00:00,95,236.75,905,Delivered,-3,CON0013,22491.25,No
ORD00014,Supplier_A,Furniture,West,2023-09-20 10:00:00,2023-08-30 05:00:00,93,406.01,766,Pending,-5,CON0014,37758.93,No
ORD00015,Supplier_A,Clothing,South,2023-10-04 05:00:00,2023-02-27 10:00:00,5,384.96,29,Delayed,-2,CON0015,1924.8,No
ORD00016,Supplier_C,Electronics,North,2023-08-03 10:00:00,2023-08-24 04:00:00,54,255.05,84,Delivered,-10,CON0016,13772.7,No
ORD00017,Supplier_C,Electronics,South,2023-02-11 19:00:00,2023-06-07 10:00:00,38,427.94,788,Delayed,-6,CON0017,16261.72,No
ORD00018,Supplier_B,Electronics,South,2023-05-09 11:00:00,2023-01-10 17:00:00,62,376.79,501,Cancelled,28,CON0018,23360.98,Yes
ORD00019,Supplier_B,Electronics,East,2023-04-18 21:00:00,2023-09-18 16:00:00,25,390.4,545,Delivered,-2,CON0019,9760.0,No
ORD00020,Supplier_D,Food,West,2023-06-29 14:00:00,2023-11-24 22:00:00,98,478.42,328,Delayed,3,CON0020,46885.16,Yes
ORD00021,Supplier_D,Clothing,West,2023-04-04 09:00:00,2023-09-16 03:00:00,12,136.9,609,Cancelled,16,CON0021,1642.8,Yes
ORD00022,Supplier_A,Clothing,East,2023-08-29 06:00:00,2023-01-11 21:00:00,22,137.49,433,Cancelled,-2,CON0022,3024.78,No
ORD00023,Supplier_A,Food,South,2023-11-18 07:00:00,2023-12-23 07:00:00,9,445.03,587,Cancelled,25,CON0023,4005.27,Yes
ORD00024,Supplier_D,Clothing,North,2023-07-27 12:00:00,2023-12-04 11:00:00,84,387.25,686,Delivered,18,CON0024,32529.0,Yes
ORD00025,Supplier_D,Food,West,2023-02-09 02:00:00,2023-03-08 16:00:00,29,463.64,852,Pending,9,CON0025,13445.56,Yes
ORD00026,Supplier_C,Furniture,West,2023-06-29 05:00:00,2023-12-30 03:00:00,44,36.25,248,Pending,4,CON0026,1595.0,Yes
ORD00027,Supplier_D,Clothing,South,2023-06-15 10:00:00,2023-05-29 12:00:00,93,315.74,851,Delayed,25,CON0027,29363.82,Yes
ORD00028,Supplier_C,Electronics,West,2023-06-16 15:00:00,2023-10-31 09:00:00,27,76.59,133,Pending,-8,CON0028,2067.93,No
ORD00029,Supplier_C,Electronics,East,2023-07-13 18:00:00,2023-01-08 05:00:00,55,254.43,689,Pending,12,CON0029,13993.65,Yes
ORD00030,Supplier_C,Electronics,North,2023-10-04 03:00:00,2023-03-10 16:00:00,81,82.09,364,Delivered,-2,CON0030,6649.29,No
ORD00031,Supplier_A,Clothing,East,2023-05-23 00:00:00,2023-11-17 05:00:00,5,68.4,739,Pending,19,CON0031,342.0,Yes
ORD00032,Supplier_D,Furniture,North,2023-01-11 08:00:00,2023-04-19 06:00:00,52,11.02,574,Delivered,8,CON0032,573.04,Yes
ORD00033,Supplier_C,Food,East,2023-12-23 20:00:00,2023-07-05 12:00:00,13,316.97,779,Cancelled,27,CON0033,4120.61,Yes
ORD00034,Supplier_B,Food,East,2023-09-05 22:00:00,2023-11-11 17:00:00,42,182.72,424,Delayed,-8,CON0034,7674.24,No
ORD00035,Supplier_B,Clothing,South,2023-05-02 22:00:00,2023-06-28 21:00:00,15,57.07,414,Delivered,-8,CON0035,856.05,No
ORD00036,Supplier_A,Electronics,East,2023-11-29 07:00:00,2023-11-21 17:00:00,79,164.8,769,Cancelled,23,CON0036,13019.2,Yes
ORD00037,Supplier_B,Electronics,West,2023-06-10 17:00:00,2023-03-30 20:00:00,18,88.63,655,Delayed,-9,CON0037,1595.34,No
ORD00038,Supplier_D,Clothing,North,2023-07-25 10:00:00,2023-06-15 11:00:00,50,471.14,511,Cancelled,16,CON0038,23557.0,Yes
